"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:22:30,___
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:26:54,___
GTT,51.54640,9.96417,272.0,61.29,316.2,P,08:53:36.0,-4.3
GTT,51.54640,9.96417,272.0,61.29,316.2,S,09:01:51.0,-8.9
FIR,43.77390,11.25500,46.0,61.71,307.3,P,08:53:46.0,2.8
FIR,43.77390,11.25500,46.0,61.71,307.3,S,09:02:03.0,-2.5
PTF,43.95944,11.06972,550.0,61.81,307.5,P,08:53:48.0,4.0
PTF,43.95944,11.06972,550.0,61.81,307.5,S,09:02:03.0,-3.8
STU,48.77190,9.19500,360.0,62.21,313.1,P,08:53:39.0,-7.5
STU,48.77190,9.19500,360.0,62.21,313.1,S,09:01:25.0,-46.7
CHU,46.84990,9.53669,630.0,62.32,310.9,P,08:53:40.0,-7.4
CHU,46.84990,9.53669,630.0,62.32,310.9,S,09:02:02.0,-11.3
PCN,45.03530,9.72470,55.0,62.58,308.9,P,08:53:19.0,-30.0
PCN,45.03530,9.72470,55.0,62.58,308.9,S,09:02:18.0,1.6
KRL,49.01080,8.41222,114.0,62.68,313.5,P,08:53:49.0,-0.6
KRL,49.01080,8.41222,114.0,62.68,313.5,S,09:02:17.0,-0.5
BER,60.38381,5.33389,50.0,62.76,326.5,P,08:53:52.0,2.1
BER,60.38381,5.33389,50.0,62.76,326.5,PnS,09:02:27.0,-6.9
ZUR,47.36921,8.58088,615.0,62.87,311.7,P,08:53:44.0,-7.0
ZUR,47.36921,8.58088,615.0,62.87,311.7,S,09:02:20.0,-0.1
FEL,47.87580,8.01270,1330.0,63.15,312.3,P,08:53:47.0,-6.0
FEL,47.87580,8.01270,1330.0,63.15,312.3,S,09:02:18.0,-5.7
STR,48.58450,7.76583,135.0,63.17,313.1,P,08:53:44.0,-8.9
STR,48.58450,7.76583,135.0,63.17,313.1,S,09:02:14.0,-9.7
BAS,47.54000,7.58167,309.0,63.50,312.0,P,08:53:55.0,-0.1
BAS,47.54000,7.58167,309.0,63.50,312.0,S,09:02:29.0,1.1
NEU,46.99730,6.95733,487.0,64.03,311.5,P,08:53:51.0,-7.7
NEU,46.99730,6.95733,487.0,64.03,311.5,S,09:01:25.0,-69.5
DBN,52.10167,5.17667,3.0,64.13,317.3,P,08:54:03.0,3.8
DBN,52.10167,5.17667,3.0,64.13,317.3,S,09:02:35.0,-0.5
TUN,36.80000,10.13330,,64.14,299.9,P,08:54:00.0,0.5
TUN,36.80000,10.13330,,64.14,299.9,S,09:01:25.0,-71.1
PER,-31.95270,115.83900,55.0,64.81,152.7,P,08:54:07.0,3.2
PER,-31.95270,115.83900,55.0,64.81,152.7,S,09:02:43.0,-1.2
UCC,50.79830,4.35944,105.0,64.90,316.0,S,09:02:43.0,-2.0
UCC,50.79830,4.35944,105.0,64.90,316.0,PP,08:56:52.0,25.3
MAR,43.30530,5.39389,75.0,65.97,307.8,P,08:53:10.0,-61.3
MAR,43.30530,5.39389,75.0,65.97,307.8,S,09:01:52.0,-66.4
PAR,48.80944,2.49361,47.0,66.53,314.2,P,08:54:12.0,-2.8
PAR,48.80944,2.49361,47.0,66.53,314.2,S,09:03:00.0,-5.0
PDD,45.76670,2.96667,1450.0,67.00,310.9,P,08:54:17.0,-1.1
PDD,45.76670,2.96667,1450.0,67.00,310.9,S,09:03:19.0,7.8
DUR,54.76840,-1.58500,103.0,67.48,321.2,P,08:54:25.0,4.3
DUR,54.76840,-1.58500,103.0,67.48,321.2,S,09:03:16.0,-0.2
KEW,51.46830,-0.31306,5.0,67.60,317.5,P,08:54:20,-1.5
KEW,51.46830,-0.31306,5.0,67.60,317.5,pP,08:54:25,-1.4
KEW,51.46830,-0.31306,5.0,67.60,317.5,PP,08:57:12,21.8
KEW,51.46830,-0.31306,5.0,67.60,317.5,PP,08:57:15,24.8
KEW,51.46830,-0.31306,5.0,67.60,317.5,08:58:38,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,08:58:50,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,08:58:55,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,09:01:50,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,S,09:03:16,-1.8
KEW,51.46830,-0.31306,5.0,67.60,317.5,S,09:03:18,0.2
KEW,51.46830,-0.31306,5.0,67.60,317.5,09:04:35,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,09:04:41,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,09:06:37,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,09:07:18,___,_i
KEW,51.46830,-0.31306,5.0,67.60,317.5,M,09:20:00,___
KEW,51.46830,-0.31306,5.0,67.60,317.5,M,09:20:00,___
KEW,51.46830,-0.31306,5.0,67.60,317.5,M,09:20:00,___
KEW,51.46830,-0.31306,5.0,67.60,317.5,P,08:54:20.0,-1.5
KEW,51.46830,-0.31306,5.0,67.60,317.5,S,09:03:17.0,-0.8
EDI,55.92330,-3.18750,125.0,68.05,322.6,P,08:54:32.0,7.7
EDI,55.92330,-3.18750,125.0,68.05,322.6,S,09:03:27.0,3.9
OXD,51.76670,-1.25000,61.0,68.08,318.0,P,08:54:27.0,2.5
