"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
CHM,42.31900,69.60300,512.0,20.74,322.3,Pn,08:48:16.0,8.0
COC,6.90000,79.86670,7.0,20.88,199.0,P,08:48:05.0,-2.3
COC,6.90000,79.86670,7.0,20.88,199.0,S,08:52:00.0,0.2
HKC,22.30200,114.17430,27.0,25.47,94.3,P,08:48:45.0,-8.2
HKC,22.30200,114.17430,27.0,25.47,94.3,S,08:53:16.0,-4.0
MED,3.55000,98.68333,32.0,25.93,151.4,P,08:49:02.0,4.6
PEK,40.04030,116.17500,43.0,27.81,54.3,P,08:49:11.0,-3.2
PEK,40.04030,116.17500,43.0,27.81,54.3,S,08:53:58.0,1.4
NAN,32.06330,118.78300,10.0,28.44,71.8,P,08:49:15.0,-4.8
NAN,32.06330,118.78300,10.0,28.44,71.8,S,08:54:01.0,-5.6
TAI,22.99520,120.19700,14.0,30.67,89.8,P,08:49:49.0,9.3
TAI,22.99520,120.19700,14.0,30.67,89.8,S,08:55:37.0,55.2
ZKW,31.18330,121.43300,7.0,30.69,73.6,S,08:55:40,58.0
ZKW,31.18330,121.43300,7.0,30.69,73.6,W3,12:25:40,___
ZKW,31.18330,121.43300,7.0,30.69,73.6,P,08:49:36.0,-3.8
ZKW,31.18330,121.43300,7.0,30.69,73.6,S,08:55:40.0,58.0
TCU,24.14750,120.67600,84.0,30.83,87.4,P,08:50:14.0,32.9
TCU,24.14750,120.67600,84.0,30.83,87.4,S,08:55:07.0,22.6
KAU,22.56790,120.30800,2.0,30.87,90.6,P,08:49:56.0,14.5
KAU,22.56790,120.30800,2.0,30.87,90.6,S,08:55:36.0,50.9
ALS,23.51040,120.80500,2413.0,31.09,88.6,P,08:49:53.0,9.2
ALS,23.51040,120.80500,2413.0,31.09,88.6,S,08:55:12.0,22.9
TAP,25.03930,121.50600,6.0,31.39,85.4,P,08:49:48.0,1.9
TAP,25.03930,121.50600,6.0,31.39,85.4,S,08:55:01.0,7.9
HEN,22.00547,120.73806,22.1,31.41,91.4,P,08:48:59.0,-47.2
HEN,22.00547,120.73806,22.1,31.41,91.4,S,08:54:55.0,1.6
TTN,22.75400,121.14700,9.0,31.58,89.8,P,08:49:54.0,6.3
TTN,22.75400,121.14700,9.0,31.58,89.8,S,08:55:15.0,18.9
DAI,38.90000,121.63300,97.0,31.59,58.8,P,08:49:43.0,-4.6
DAI,38.90000,121.63300,97.0,31.59,58.8,S,08:54:58.0,2.1
HWA,23.97700,121.60500,16.0,31.70,87.4,P,08:50:00.0,11.2
HWA,23.97700,121.60500,16.0,31.70,87.4,S,08:55:15.0,17.1
BAK,40.37200,49.81800,83.0,33.20,303.4,P,08:50:04.0,2.3
ISI,24.33167,124.16333,6.0,33.90,85.8,P,08:50:10.0,1.9
ISI,24.33167,124.16333,6.0,33.90,85.8,S,08:55:53.0,20.8
MAN,14.66000,121.07800,70.0,34.35,103.8,P,08:50:08.0,-4.0
MAN,14.66000,121.07800,70.0,34.35,103.8,S,08:55:33.0,-6.3
PYO,39.03330,125.75000,51.0,34.77,59.6,P,08:50:23.0,7.6
PYO,39.03330,125.75000,51.0,34.77,59.6,S,08:55:47.0,1.7
SVE,56.82700,60.63700,275.0,35.19,335.3,P,08:50:17.0,-1.9
SVE,56.82700,60.63700,275.0,35.19,335.3,S,08:55:55.0,3.5
INC,37.48330,126.63300,70.0,35.27,62.4,P,08:50:14.0,-5.8
INC,37.48330,126.63300,70.0,35.27,62.4,S,08:55:44.0,-9.1
SEO,37.56670,126.96700,86.0,35.54,62.3,P,08:50:17.0,-5.1
SEO,37.56670,126.96700,86.0,35.54,62.3,S,08:55:57.0,-0.3
TAE,35.86670,128.60000,50.0,36.74,65.3,P,08:50:29.0,-3.4
TAE,35.86670,128.60000,50.0,36.74,65.3,S,08:56:17.0,1.4
GRO,43.32000,45.75000,123.0,36.81,307.2,P,08:50:33.0,0.1
SLS,-5.40000,105.21700,240.0,36.81,147.9,P,08:50:06.0,-27.2
TIF,41.71667,44.80000,399.0,37.18,304.4,P,08:50:31.0,-5.1
TIF,41.71667,44.80000,399.0,37.18,304.4,S,08:56:25.0,2.7
ERE,40.17000,44.47000,998.0,37.19,301.8,P,08:50:40.0,3.7
ERE,40.17000,44.47000,998.0,37.19,301.8,S,08:56:14.0,-8.6
NGS,32.73170,129.87000,24.0,37.81,70.5,P,08:50:36.0,-5.5
NGS,32.73170,129.87000,24.0,37.81,70.5,S,08:56:34.0,2.0
FKK,33.58000,130.38000,3.0,38.20,69.1,P,08:50:40.0,-4.8
FKK,33.58000,130.38000,3.0,38.20,69.1,S,08:56:44.0,6.1
FKK,33.58000,130.38000,3.0,38.20,69.1,P,08:50:40.0,-4.8
FKK,33.58000,130.38000,3.0,38.20,69.1,S,08:56:40.0,2.1
DJA,-6.18333,106.83620,8.0,38.28,146.3,P,08:50:47.0,1.5
KAG,31.55083,130.55083,2.0,38.46,72.3,P,08:50:56.0,9.0
KAG,31.55083,130.55083,2.0,38.46,72.3,S,08:56:46.0,4.2
KUM,32.81000,130.71000,39.0,38.51,70.3,P,08:50:43.0,-4.4
KUM,32.81000,130.71000,39.0,38.51,70.3,S,08:56:44.0,1.4
MYZ,31.92000,131.42333,7.0,39.17,71.7,P,08:50:47.0,-6.0
MYZ,31.92000,131.42333,7.0,39.17,71.7,S,08:56:35.0,-17.6
MLB,-7.21667,107.61700,1550.0,39.55,146.0,P,08:51:06.0,9.5
MLB,-7.21667,107.61700,1550.0,39.55,146.0,S,08:57:01.0,2.1
HMD,34.89330,132.07300,21.0,39.57,67.0,P,08:50:51.0,-5.2
HMD,34.89330,132.07300,21.0,39.57,67.0,S,08:56:58.0,-0.5
HIR,34.36330,132.43700,30.0,39.88,67.8,P,08:50:59.0,0.1
HIR,34.36330,132.43700,30.0,39.88,67.8,S,08:57:09.0,5.8
VLA,43.11960,131.88500,61.0,39.98,54.1,P,08:50:53.0,-6.5
VLA,43.11960,131.88500,61.0,39.98,54.1,S,08:56:49.0,-15.4
SHM,32.77500,132.95800,2.0,40.40,70.2,P,08:50:56.0,-7.2
SHM,32.77500,132.95800,2.0,40.40,70.2,S,08:56:59.0,-12.0
KOC,33.55330,133.53700,-1.0,40.84,68.9,P,08:51:03.0,-3.8
KOC,33.55330,133.53700,-1.0,40.84,68.9,S,08:57:19.0,1.5
SOC,43.58330,39.71670,192.0,41.18,306.3,P,08:51:26.0,16.5
SOC,43.58330,39.71670,192.0,41.18,306.3,S,08:57:40.0,17.7
MRT,33.24833,134.18000,186.0,41.39,69.3,P,08:51:07.0,-4.4
MRT,33.24833,134.18000,186.0,41.39,69.3,S,08:57:27.0,1.2
TYK,35.53330,134.82500,4.0,41.80,65.9,P,08:51:18.0,3.3
TYK,35.53330,134.82500,4.0,41.80,65.9,S,08:57:29.0,-2.8
SUM,34.33500,134.90800,110.0,41.93,67.7,P,08:51:11.0,-4.7
SUM,34.33500,134.90800,110.0,41.93,67.7,S,08:57:26.0,-7.7
KOB,34.68830,135.18000,58.0,42.13,67.1,P,08:51:13.0,-4.4
KOB,34.68830,135.18000,58.0,42.13,67.1,S,08:57:39.0,2.3
WKY,34.22670,135.16700,14.0,42.15,67.8,P,08:51:12.0,-5.5
WKY,34.22670,135.16700,14.0,42.15,67.8,S,08:57:34.0,-2.9
OSA,34.67830,135.52200,13.0,42.41,67.1,P,08:51:15.0,-4.7
OSA,34.67830,135.52200,13.0,42.41,67.1,S,08:57:43.0,2.2
KYO,35.01170,135.73500,42.0,42.57,66.6,P,08:51:17.0,-4.0
KYO,35.01170,135.73500,42.0,42.57,66.6,S,08:57:39.0,-4.1
YAG,34.51670,135.80000,63.0,42.65,67.3,P,08:51:18.0,-3.6
YAG,34.51670,135.80000,63.0,42.65,67.3,S,08:57:40.0,-4.3
SHJ,33.44830,135.76300,75.0,42.70,68.9,P,08:51:17.0,-5.0
SHJ,33.44830,135.76300,75.0,42.70,68.9,S,08:57:47.0,1.9
HIK,35.27330,136.24700,87.0,42.98,66.2,P,08:51:21.0,-3.2
HIK,35.27330,136.24700,87.0,42.98,66.2,S,08:57:44.0,-5.1
KAM,34.85670,136.46500,71.0,43.18,66.8,P,08:51:22.0,-3.9
KAM,34.85670,136.46500,71.0,43.18,66.8,S,08:57:50.0,-2.1
GIF,35.39830,136.76500,13.0,43.39,66.0,P,08:51:22.0,-5.6
GIF,35.39830,136.76500,13.0,43.39,66.0,S,08:57:51.0,-4.2
WAJ,37.39000,136.89800,7.0,43.42,63.1,P,08:51:22.0,-5.8
WAJ,37.39000,136.89800,7.0,43.42,63.1,S,08:57:47.0,-8.6
NAG,35.16500,136.96800,56.0,43.57,66.3,P,08:51:24.0,-5.1
NAG,35.16500,136.96800,56.0,43.57,66.3,S,08:58:01.0,3.2
KSA,33.82333,35.89000,920.0,43.93,291.8,P,08:51:33.0,0.9
KSA,33.82333,35.89000,920.0,43.93,291.8,S,08:58:03.0,-0.4
HMM,34.70667,137.72333,33.0,44.22,66.9,P,08:51:31.0,-3.3
HMM,34.70667,137.72333,33.0,44.22,66.9,S,08:58:12.0,4.7
NGN,36.66000,138.19500,419.0,44.49,64.1,P,08:51:33.0,-3.4
NGN,36.66000,138.19500,419.0,44.49,64.1,S,08:58:18.0,6.8
OIW,36.34000,138.55200,1001.0,44.79,64.5,P,08:51:34.0,-5.0
OIW,36.34000,138.55200,1001.0,44.79,64.5,S,08:58:10.0,-5.8
FUN,35.49830,138.76300,860.0,45.01,65.7,P,08:51:29.0,-11.7
FUN,35.49830,138.76300,860.0,45.01,65.7,S,08:58:12.0,-7.0
MAE,36.40170,139.06500,112.0,45.20,64.4,P,08:51:42.0,-0.1
MAE,36.40170,139.06500,112.0,45.20,64.4,S,08:58:18.0,-3.5
SUS,34.66670,138.98300,3.0,45.26,66.8,P,08:51:48.0,5.4
SUS,34.66670,138.98300,3.0,45.26,66.8,S,08:57:25.0,-57.4
YAL,44.48750,34.15472,23.0,45.26,307.0,P,08:51:43.0,0.6
YAL,44.48750,34.15472,23.0,45.26,307.0,S,08:57:25.0,-57.2
SIM,44.94900,34.11600,275.0,45.33,307.6,P,08:51:40.0,-3.0
SIM,44.94900,34.11600,275.0,45.33,307.6,S,08:58:22.0,-1.2
KMG,36.14660,139.38333,31.0,45.47,64.7,P,08:51:43.0,-1.2
KMG,36.14660,139.38333,31.0,45.47,64.7,S,08:57:25.0,-60.4
SEV,44.54500,33.66800,42.0,45.62,307.0,P,08:51:45.0,-0.2
SEV,44.54500,33.66800,42.0,45.62,307.0,S,08:58:28.0,0.8
TOK,35.68667,139.75833,-285.0,45.81,65.3,P,08:51:48.0,1.1
TOK,35.68667,139.75833,-285.0,45.81,65.3,S,08:58:33.0,2.8
HNG,35.71110,139.76600,18.0,45.81,65.3,P,08:51:54.0,7.1
HNG,35.71110,139.76600,18.0,45.81,65.3,S,08:58:30.0,-0.3
AKI,39.71833,140.10167,10.0,45.90,59.7,P,08:51:59.0,11.4
